token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
135058,NYKAA26MAY26310CE,NYKAA,26MAY2026,31000.000000,3125,OPTSTK,NFO,5.000000
135062,POLYCAB28JUL268600PE,POLYCAB,28JUL2026,860000.000000,125,OPTSTK,NFO,5.000000
135071,POLYCAB28JUL269400CE,POLYCAB,28JUL2026,940000.000000,125,OPTSTK,NFO,5.000000
69333,ASHOKLEY30JUN26152.5PE,ASHOKLEY,30JUN2026,15250.000000,5000,OPTSTK,NFO,1.000000
69344,ASHOKLEY30JUN26172.5CE,ASHOKLEY,30JUN2026,17250.000000,5000,OPTSTK,NFO,1.000000
69349,ASHOKLEY30JUN26177.5PE,ASHOKLEY,30JUN2026,17750.000000,5000,OPTSTK,NFO,1.000000
69421,ASHOKLEY28JUL26145CE,ASHOKLEY,28JUL2026,14500.000000,5000,OPTSTK,NFO,1.000000
135072,POLYCAB28JUL269400PE,POLYCAB,28JUL2026,940000.000000,125,OPTSTK,NFO,5.000000
135084,POLYCAB28JUL2610400PE,POLYCAB,28JUL2026,1040000.000000,125,OPTSTK,NFO,5.000000
135168,KEI26MAY264250CE,KEI,26MAY2026,425000.000000,175,OPTSTK,NFO,5.000000
135185,KEI26MAY265050PE,KEI,26MAY2026,505000.000000,175,OPTSTK,NFO,5.000000
69448,ASHOKLEY28JUL26180PE,ASHOKLEY,28JUL2026,18000.000000,5000,OPTSTK,NFO,1.000000
69465,ASHOKLEY28JUL26185CE,ASHOKLEY,28JUL2026,18500.000000,5000,OPTSTK,NFO,1.000000
69504,FINNIFTY26MAY2621500PE,FINNIFTY,26MAY2026,2150000.000000,60,OPTIDX,NFO,5.000000
69529,FINNIFTY26MAY2623400CE,FINNIFTY,26MAY2026,2340000.000000,60,OPTIDX,NFO,5.000000
135190,POWERGRID30JUN26262.5PE,POWERGRID,30JUN2026,26250.000000,1900,OPTSTK,NFO,5.000000
135276,KEI30JUN264100PE,KEI,30JUN2026,410000.000000,175,OPTSTK,NFO,5.000000
135279,KEI30JUN264300CE,KEI,30JUN2026,430000.000000,175,OPTSTK,NFO,5.000000
135285,KEI30JUN264600CE,KEI,30JUN2026,460000.000000,175,OPTSTK,NFO,5.000000
69536,FINNIFTY26MAY2623700PE,FINNIFTY,26MAY2026,2370000.000000,60,OPTIDX,NFO,5.000000
69541,FINNIFTY26MAY2624000CE,FINNIFTY,26MAY2026,2400000.000000,60,OPTIDX,NFO,5.000000
69553,FINNIFTY26MAY2624600CE,FINNIFTY,26MAY2026,2460000.000000,60,OPTIDX,NFO,5.000000
69563,FINNIFTY26MAY2625100CE,FINNIFTY,26MAY2026,2510000.000000,60,OPTIDX,NFO,5.000000
69568,FINNIFTY26MAY2625300PE,FINNIFTY,26MAY2026,2530000.000000,60,OPTIDX,NFO,5.000000
69608,ASIANPAINT30JUN262420PE,ASIANPAINT,30JUN2026,242000.000000,250,OPTSTK,NFO,5.000000
69675,FINNIFTY26MAY2627100CE,FINNIFTY,26MAY2026,2710000.000000,60,OPTIDX,NFO,5.000000
69687,FINNIFTY26MAY2627700CE,FINNIFTY,26MAY2026,2770000.000000,60,OPTIDX,NFO,5.000000
135288,KEI30JUN264700PE,KEI,30JUN2026,470000.000000,175,OPTSTK,NFO,5.000000
135300,KEI30JUN265100PE,KEI,30JUN2026,510000.000000,175,OPTSTK,NFO,5.000000
135317,POWERGRID30JUN26287.5PE,POWERGRID,30JUN2026,28750.000000,1900,OPTSTK,NFO,5.000000
135319,POWERGRID30JUN26292.5PE,POWERGRID,30JUN2026,29250.000000,1900,OPTSTK,NFO,5.000000
69692,FINNIFTY26MAY2627900PE,FINNIFTY,26MAY2026,2790000.000000,60,OPTIDX,NFO,5.000000
